Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 18:12 EDT
"Nutrient data for: BEER CHEESE, UPC: 850276005007"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"2.0 Tbsp = 28.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,90,321
"Protein",g,--,--,4.00,14.29
"Total lipid (fat)",g,--,--,6.00,21.43
"Carbohydrate, by difference",g,--,--,4.00,14.29
"Fiber, total dietary",g,--,--,0.0,0.0
"Sugars, total",g,--,--,3.00,10.71
Minerals
"Calcium, Ca",mg,--,--,100,357
"Iron, Fe",mg,--,--,0.00,0.00
"Sodium, Na",mg,--,--,180,643
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,0.0,0.0
"Vitamin A, IU",IU,--,--,200,714
Lipids
"Fatty acids, total saturated",g,--,--,5.001,17.860
"Cholesterol",mg,--,--,20,71
Amino Acids
Other
Ingredients
"CHEDDAR CHEESE, (PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYME, WATER, REDUCED LACTOSE WHEY CREAM, SKIM MILK), SORBIC ACID (TO PROTECT FLAVOR), GUAR GUM, LACTIC ACID, ANNATTO (COLOR), BEER, WORCESTERSHIRE SAUCE, (DISTILLED VINEGAR, MOLASSES, CORN SYRUP, WATER, SALT, SPICES, ANCHOVY PUREE/NATURAL FLAVOR, TAMARIND) GARLIC POWDER, ARTIFICIAL FLAVOR, ONION POWDER, AGED CAYENNE PEPPER SAUCE (AGED CEYENNE PEPPERS, VINEGAR, WATER, SALT, GARLIC, GARLIC POWDER), CAYENNE PEPPERS." Date available: 09/27/2017 Date last updated by company: 09/27/2017
