Source: USDA National Nutrient Database for Standard Reference 1 April 2018 Software v.3.9.5 2018-08-15
Basic Report
Report Run at: August 19 2018 18:51 EDT
"Nutrient data for: Vital wheat gluten"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,8.20,
"Energy",kcal,370,
"Protein",g,75.16,
"Total lipid (fat)",g,1.85,
"Carbohydrate, by difference",g,13.79,
"Fiber, total dietary",g,0.6,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,142,
"Iron, Fe",mg,5.20,
"Magnesium, Mg",mg,25,
"Phosphorus, P",mg,260,
"Potassium, K",mg,100,
"Sodium, Na",mg,29,
"Zinc, Zn",mg,0.85,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.000,
"Riboflavin",mg,0.000,
"Niacin",mg,0.000,
"Vitamin B-6",mg,0.000,
"Folate, DFE",µg,0,
"Vitamin B-12",µg,0.00,
"Vitamin A, RAE",µg,0,
"Vitamin A, IU",IU,0,
"Vitamin E (alpha-tocopherol)",mg,0.00,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
"Vitamin K (phylloquinone)",µg,0.0,
Lipids
"Fatty acids, total saturated",g,0.272,
"Fatty acids, total monounsaturated",g,0.156,
"Fatty acids, total polyunsaturated",g,0.810,
"Cholesterol",mg,0,
Amino Acids
Other
"Caffeine",mg,0,
